location,sub_location,site,year,Acanthastrea,Acropora,Astreopora,Cyphastrea,Danafungia,Dipsastrea,Fungiidae_un,Gardineroseris,Herpolitha,Leptastrea,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Millepora,Montipora,Pachyseris,Pavona,Phymastrea,Plesiastrea,Pleuractis,Pocillopora,Porites,Porites_spp_Massive,Poritesirregularis,Poritesrus,Psammocora,Sandolitha,Stylocoeniella,Tubastrea
French_Polynesia,Moorea,LTER2_Fringing,2006,0,0.336842105,0,0,0,0,0.160526316,0,0.094736842,0,0,0,0,0,0,0.781578947,0,0.836842105,0,0,0,0.444736842,44.32894737,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Outer_10,2006,0,8.7375,0,0.06,0,0.12,0.03,0,0,0.515,0,0,0,0,0.5575,1.2875,0,0.3875,0.3575,0,0,10.285,6.9575,0,0,0,0.12,0,0,0
French_Polynesia,Moorea,LTER2_Outer_17,2006,0,1.9,0,0.048648649,0,0.148648649,1.113513514,0,0.164864865,0.640540541,0,0,0,0,0.032432432,0.145945946,0,1.02972973,0.081081081,0,0,4.140540541,19.32972973,0,0,0,0.845945946,0.1,0,0
French_Polynesia,Moorea,LTER3_Fringing,2006,0,2.344736842,0,0,0,0,0,0,0.015789474,0,0,0,0,0,0,5.026315789,0,10.83421053,0,0,0,0,2.336842105,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Outer_10,2006,0.03,11.745,0.5625,0.03,0,0.9875,1.6575,0,0.105,0.7475,0,0,0,0,0.105,0.63,0,0.76,0.9,0,0,18.12,3.82,0,0,0,0.2375,0.21,0,0
French_Polynesia,Moorea,LTER3_Outer_17,2006,0.016666667,12.56111111,0,0.15,0,0.558333333,6.583333333,0,0.083333333,0.216666667,0,0,0,0,0,0.186111111,0,1.211111111,0.119444444,0,0,9.744444444,2.102777778,0,0,0,1.913888889,0.519444444,0,0
French_Polynesia,Moorea,LTER4_Fringing,2006,0,0.169230769,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4974359,0,0.030769231,0,0,0,0,3.020512821,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_10,2006,0.015384615,4,0,0.11025641,0,0.030769231,0,0,0,1.225641026,0,0,0,0,1.520512821,6.225641026,0,0.764102564,0.684615385,0,0,20.74358974,2.225641026,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_17,2006,0,10.01351351,0,0,0,0.083783784,0.22972973,0,0,0.475675676,0,0,0,0,0.381081081,0.824324324,0,0.491891892,1.086486486,0,0,21.10810811,1.12972973,0,0,0,0.194594595,0,0,0
French_Polynesia,Moorea,LTER5_Fringing,2006,0,0,0,0,0,0,0.090909091,0,0.036363636,0,0,0,0,0,0,0,0,2.833333333,0,0,0,0,46.97272727,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_10,2006,0,3.456410256,0.528205128,0,0,0,0.030769231,0,0,0.858974359,0,0,0,0,0,7.458974359,0,0.417948718,0.620512821,0,0,18.24102564,5.428205128,0,0,0,0.030769231,0,0,0
French_Polynesia,Moorea,LTER5_Outer_17,2006,0,8.375,0.24,0.03,0,0.06,0,0,0.045,1.0875,0,0,0,0,0.045,2.9875,0,0.5325,0.6725,0,0,14.005,8.8175,0,0,0,0.03,0,0,0
French_Polynesia,Moorea,LTER6_Fringing,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802564103,0,12.25641026,0,0,0,0.658974359,0,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_10,2006,0.015384615,5.215384615,0.584615385,0.107692308,0,0.358974359,0,0,0,0.656410256,0,0,0,0,1.241025641,2.684615385,0,1.512820513,0.430769231,0,0,22.61025641,1.638461538,0,0,0,0.076923077,0,0,0
French_Polynesia,Moorea,LTER6_Outer_17,2006,0,1.8,0,0,0,0,0,0,0.018181818,0.2,0,0,0,0.036363636,0,1.593939394,0,0.466666667,0.654545455,0,0,7,1.345454545,0,0,0,0.112121212,0,0,0
French_Polynesia,Moorea,LTER1_Fringing,2007,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,23.715,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER1_Outer_10,2007,0,12.91944444,0,0,0,0.1,0.088888889,0,0,0.905555556,0,0,0,0,0.341666667,0.191666667,0,0.208333333,0.744444444,0,0,21.6,7.813888889,0,0,0,0.019444444,0,0,0
French_Polynesia,Moorea,LTER1_Outer_17,2007,0.055263158,8.444736842,0.121052632,0.068421053,0,0,0.752631579,0,0.492105263,2.760526316,0.136842105,0,0,0,1.505263158,1.431578947,0,0.934210526,0.5,0,0,17.32631579,15.03157895,0,0,0,0.055263158,0,0,0
French_Polynesia,Moorea,LTER2_Fringing,2007,0,0.465,0,0,0,0,0.115,0,0.0275,0,0,0,0,0,0,0.365,0,0.7025,0,0,0,0.0525,46.1675,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Outer_10,2007,0,4.685,0,0.03,0,0.155,0.0775,0,0,0.06,0,0,0,0,1.0225,0.8325,0,0.195,0.2575,0,0,8.2075,4.67,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Outer_17,2007,0,0.081578947,0,0.013157895,0,0,0.371052632,0,0.378947368,0.313157895,0,0,0,0,0.805263158,0.013157895,0,0.471052632,0.065789474,0,0,0.926315789,16.11052632,0,0,0,0.039473684,0.013157895,0,0
French_Polynesia,Moorea,LTER3_Fringing,2007,0,1.669230769,0,0,0,0.028205128,0.066666667,0,0,0,0,0,0,0,0,4.074358974,0,12.72307692,0,0,0,0.012820513,3.043589744,0,0,0,0.053846154,0,0,0
