Taxa,Rate
Acanthastrea,15.4
Acropora,20.6
Astreopora,15.2
Cyphastrea,6
Danafungia,14.5
Dipsastrea,8.4
Fungiidae,14.5
Gardineroseris,16.1
Herpolitha,19.9
Leptastrea,8.4
Leptoseris,13.5
Lithophyllon,14.5
Lobactis,14.5
Lobophyllia,20.6
Millepora,17.2
Montipora,25.6
Pachyseris,20.7
Pavona,19.7
Phymastrea,2.9
Plesiastrea,8.2
Pleuractis,8
Pocillopora,8
Porites,11.7
Porites spp (Massive),16
Porites irregularis,14.6
Porite rus,14.6
Psammocora,10.4
Sandolitha,14.5
Stylocoeniella,27.8
Tubastraea,1.4
